,values
1568,-0.74889
1569,-12.26221
1570,-2.72653
1571,-12.07094
1572,-4.47617
1573,-7.60959
1574,-3.81756
1575,-6.36389
1576,-4.90006
1577,-4.1765
1578,-7.30661
1579,-4.30361
1580,-6.8091
1581,-2.77345
1582,-6.50141
1583,-2.87998
1584,-8.44424
1585,-1.0479
1586,-10.6972
1587,-3.0491
1588,-8.88642
1589,-1.46772
1590,-10.64479
1591,-0.09348
1592,-14.85222
1593,0.15029
1594,-13.42288
1595,-2.55886
1596,-11.14699
1597,-1.21618
1598,-12.03825
1599,-0.55137
1600,-13.66012
1601,-1.76486
1602,-10.74175
1603,-2.47901
1604,-9.38422
1605,-4.02016
1606,-7.8605
1607,-4.56594
1608,-5.265
1609,-4.86076
1610,-6.44852
1611,-5.76162
1612,-3.10119
1613,-5.52785
1614,-5.61399
1615,-5.25034
1616,-4.0361
1617,-5.98031
1618,-5.5589
1619,-2.3225
1620,-8.06609
1621,-6.18062
1622,-5.20723
1623,-6.73853
1624,-4.74374
1625,-5.6876
1626,-3.75279
1627,-4.5844
1628,-6.33273
1629,-4.53633
1630,-7.01077
1631,-2.82551
1632,-6.86868
1633,-2.21091
1634,-7.58443
1635,-4.15706
1636,-7.63895
1637,-3.37599
1638,-9.29472
1639,-0.58635
1640,-11.45968
1641,-2.81308
1642,-11.29698
1643,-1.71295
1644,-11.6283
1645,-1.92324
1646,-11.10844
1647,-1.64046
1648,-11.00971
1649,0.4424
1650,-14.06756
1651,-3.26066
1652,-10.74392
1653,-1.53484
1654,-8.7635
1655,-3.84567
1656,-5.60441
1657,-5.07704
1658,-4.73925
1659,-4.92523
1660,-7.72437
1661,-3.81909
1662,-7.6034
1663,-2.49363
1664,-9.79601
1665,-1.47318
1666,-12.04618
1667,-1.6872
1668,-10.54549
